total_area,rooms,floors_total,living_area,floor,studio,open_plan,kitchen_area,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,ponds_around3000,log_price
70.0,3,25.0,45.0,12,,,9.3,Санкт-Петербург,43440.0,9294.0,0.0,0.0,15.53827733427679
45.0,2,9.0,29.0,2,,,8.0,Санкт-Петербург,11724.0,12818.0,0.0,1.0,15.363073279446223
76.3,2,20.0,32.5,15,,,22.0,Санкт-Петербург,50812.0,16141.0,0.0,0.0,16.012735246411598
38.0,1,5.0,20.0,4,,,12.0,Санкт-Петербург,21058.0,12514.0,1.0,0.0,15.176487367510099
60.0,2,10.0,30.0,7,,,12.0,Сертолово,,,,,15.121137287019383
63.0,3,9.0,38.6,5,,,9.0,посёлок Металлострой,25616.0,27328.0,0.0,0.0,15.363073279446223
90.7,3,8.0,59.6,8,,,8.9,Никольское,,,,,15.319588176962746
70.0,3,4.0,50.0,3,,,9.0,Луга,,,,,14.346139397261565
49.0,4,5.0,37.0,3,,,5.5,Санкт-Петербург,11606.0,13540.0,0.0,0.0,15.26242977619469
46.2,2,2.0,29.6,2,,,6.3,Гатчина,,,,,14.827111833279051
211.0,6,6.0,151.6,5,,,27.0,Санкт-Петербург,26259.0,4961.0,1.0,1.0,17.073607134447293
85.0,3,22.0,50.0,7,,,16.0,Санкт-Петербург,34620.0,12036.0,0.0,0.0,15.931766193248746
41.5,3,5.0,29.6,5,,,5.3,посёлок Шушары,18055.0,23844.0,0.0,1.0,14.827111833279051
39.1,1,18.0,10.3,18,,,14.4,Санкт-Петербург,32308.0,8387.0,0.0,0.0,15.341567078850604
31.0,1,5.0,17.0,4,,,5.5,Санкт-Петербург,36732.0,9402.0,2.0,0.0,14.930652476452392
70.6,2,24.0,35.7,17,,,14.4,Санкт-Петербург,43996.0,13576.0,1.0,0.0,16.012735135300492
39.4,1,25.0,17.5,21,,,10.3,Санкт-Петербург,15533.0,14329.0,1.0,1.0,15.501909696719672
41.0,1,5.0,16.0,2,,,,Сланцы,,,,,13.710151153416941
57.0,3,5.0,40.0,3,,,5.0,Санкт-Петербург,10558.0,10495.0,0.0,0.0,15.29711532616119
70.9,3,5.0,48.1,1,,,8.8,Санкт-Петербург,26319.0,5021.0,1.0,1.0,15.670244982848228
31.6,1,4.0,18.0,2,,,5.4,посёлок Парголово,55496.0,21171.0,0.0,0.0,14.77102238760702
80.0,3,7.0,49.6,5,,,10.0,Санкт-Петербург,12875.0,8406.0,1.0,3.0,16.906553056777135
35.0,1,17.0,12.0,7,,,16.0,Кудрово,,,,,15.053885078862573
154.9,4,16.0,89.11,3,,,21.3,Санкт-Петербург,37434.0,8460.0,1.0,2.0,16.862031901305954
159.0,3,14.0,,9,,,,Санкт-Петербург,28098.0,6800.0,2.0,3.0,17.98835819708264
63.0,3,9.0,43.0,3,,,8.5,Санкт-Петербург,49047.0,16797.0,0.0,0.0,15.360943353642055
95.0,3,2.0,62.7,1,,,10.0,Пушкин,17753.0,29907.0,1.0,3.0,16.001561947061912
72.4,3,10.0,47.6,10,,,10.3,Сестрорецк,55936.0,32865.0,0.0,1.0,15.894952224644102
39.1,1,7.0,17.4,1,,,8.3,деревня Старая,,,,,14.64406281221155
46.0,2,9.0,28.0,7,,,7.0,Санкт-Петербург,32858.0,12451.0,0.0,0.0,15.137266664613225
53.0,2,,29.0,22,,,9.0,Санкт-Петербург,43074.0,10820.0,0.0,0.0,15.501126056565642
31.88,1,18.0,16.3,4,,,8.0,посёлок Мурино,,,,,14.790070575320824
81.0,3,7.0,,2,,,,Санкт-Петербург,10726.0,12169.0,1.0,1.0,16.185754392890075
59.7,3,9.0,42.8,9,,,6.1,Санкт-Петербург,49076.0,16138.0,0.0,0.0,15.274125813221904
60.3,3,9.0,38.6,6,,,6.3,Ломоносов,46700.0,50125.0,0.0,2.0,15.250595321348806
39.0,2,2.0,29.0,1,,,5.0,поселок Красная Долина,,,,,13.664688831019712
50.4,2,4.0,37.0,2,,,11.0,Санкт-Петербург,45767.0,21700.0,0.0,1.0,15.612257734540833
31.0,1,5.0,19.0,1,,,5.4,Ломоносов,48492.0,51917.0,0.0,0.0,14.508658238524095
57.0,2,9.0,26.2,7,,,12.8,Кудрово,,,,,15.454507466814658
31.2,1,2.0,17.6,2,,,7.0,поселок станции Вещево,,,,,13.304686600863562
206.0,5,6.0,160.0,3,,,26.0,Санкт-Петербург,20123.0,1852.0,3.0,3.0,16.29540474968082
54.0,2,4.0,26.0,3,,,16.0,деревня Белогорка,,,,,14.45736497045232
40.0,1,12.0,19.0,7,,,11.2,Всеволожск,,,,,14.88022163978423
161.8,4,4.0,80.9,2,,,17.6,Петергоф,35416.0,30605.0,2.0,1.0,16.906553056777135
75.0,3,7.0,54.0,1,,,8.0,Санкт-Петербург,31445.0,6132.0,1.0,2.0,15.843658936835498
57.0,3,5.0,41.6,4,,,5.1,Санкт-Петербург,11756.0,8973.0,1.0,0.0,15.444751293772967
44.0,1,15.0,21.0,14,,,10.0,Санкт-Петербург,18936.0,13744.0,1.0,0.0,15.184150238298338
32.2,1,27.0,16.2,20,,,8.0,Санкт-Петербург,20998.0,22710.0,0.0,1.0,15.201805169084134
83.0,2,5.0,55.1,2,,,10.0,Санкт-Петербург,23949.0,4517.0,1.0,0.0,16.065749275960183
54.0,2,14.0,33.1,4,,,7.3,Санкт-Петербург,15598.0,10436.0,0.0,1.0,15.76142084987672
59.6,2,5.0,36.6,2,,,12.5,Санкт-Петербург,,,,,15.775605482856605
43.0,2,5.0,28.0,3,,,5.1,Санкт-Петербург,10989.0,9421.0,0.0,0.0,15.250595321348806
72.0,3,9.0,43.0,8,,,8.0,Санкт-Петербург,31420.0,12899.0,0.0,0.0,15.501724494419891
26.05,0,17.0,14.25,12,,,,посёлок Мурино,,,,,14.790070575320824
32.6,1,12.0,18.3,7,,,7.7,Санкт-Петербург,13037.0,9869.0,0.0,0.0,15.201805169084134
38.5,1,25.0,18.0,7,,,10.2,Санкт-Петербург,42067.0,10001.0,0.0,0.0,15.404745967162468
100.0,3,5.0,37.8,3,,,11.6,Санкт-Петербург,21818.0,215.0,3.0,2.0,16.21249641737161
46.3,2,6.0,28.8,2,,,9.0,Санкт-Петербург,31327.0,3144.0,0.0,0.0,15.547166280113759
59.0,3,9.0,42.0,3,,,7.0,Колпино,26186.0,31973.0,0.0,0.0,15.163583966004193
44.5,2,12.0,26.5,9,,,6.1,Санкт-Петербург,36294.0,10652.0,0.0,0.0,15.201805169084134
60.96,3,5.0,,4,,,5.9,поселок Победа,,,,,14.430696737594902
57.2,2,19.0,33.7,5,,,22.7,посёлок Парголово,54386.0,18552.0,0.0,1.0,15.670244982848228
81.5,3,4.0,40.0,3,,,26.0,Санкт-Петербург,26767.0,5469.0,2.0,1.0,15.943742382861155
89.0,3,17.0,53.0,9,,,12.0,Санкт-Петербург,16046.0,14843.0,1.0,0.0,15.732433317205148
50.2,2,9.0,30.9,2,,,6.1,Санкт-Петербург,41786.0,10666.0,1.0,0.0,15.123843647884687
43.8,2,5.0,28.0,2,,,6.0,Санкт-Петербург,22594.0,5901.0,0.0,2.0,15.434898999271326
37.4,1,17.0,18.6,3,,,10.7,Санкт-Петербург,35843.0,12218.0,2.0,2.0,15.394489469099211
30.4,1,5.0,16.42,1,,,5.7,Пушкин,17866.0,30020.0,1.0,1.0,14.845130332288226
43.2,1,18.0,18.0,15,,,11.5,посёлок Мурино,,,,,14.962913328262083
57.0,3,9.0,36.1,1,,,6.0,Санкт-Петербург,10142.0,13743.0,2.0,1.0,15.38412668421143
